X,Y,Slope_UTM,TWI_UTM,Flowlog_UT,RiverDist_,RiverDC_UT,DEMC_UTM,population_density,road_density,latitude,longitude,lat,lon
561674.294408906,2075930.52514816,1.73411,6.57067,0.39601,481.71939,0.05505,7.0,0.78125,0.00584,18.774070536366242,105.5851862640015,18.774070536366242,105.5851862640015
561674.67028356,2076288.58314794,2.36677,8.26384,0.64458,273.12442,1.7579,5.0,1.53852,0.00833,18.77730644920786,105.58520099883636,18.77730644920786,105.58520099883636
561676.134335091,2077181.10069884,0.72528,5.78953,0.28627,395.78021,1.55099,6.0,0.0,0.00354,18.785372465423112,105.58524273998455,18.785372465423112,105.58524273998455
561676.729969017,2077824.02418822,2.40514,7.8347,0.0,38.89584,20.03662,4.0,0.25929,0.00602,18.791182815679456,105.58526846240429,18.791182815679456,105.58526846240429
561683.448861104,2077470.86812183,2.52361,7.36087,0.68813,153.32297,8.29276,5.0,0.0,0.00516,18.787990997551294,105.58532119058478,18.787990997551294,105.58532119058478
561685.852352039,2076491.51645856,2.13247,6.27679,0.38777,318.55893,2.31684,4.0,0.06505,0.00792,18.779140111918988,105.58531342802,18.779140111918988,105.58531342802
561690.581473368,2076662.35916765,0.94737,5.76484,0.27294,388.5094,1.77191,5.0,0.0,0.00576,18.78068394958892,105.58536363083316,18.78068394958892,105.58536363083316
561694.747167374,2078013.80677928,0.64281,6.83981,0.43698,107.87766,23.80563,4.0,0.21093,0.00574,18.792897423562078,105.58544535399255,18.792897423562078,105.58544535399255
561709.716661778,2078082.74306714,0.0,0.0,0.0,53.93883,24.87382,3.0,0.01019,0.00588,18.79351998381922,105.58558955370155,18.79351998381922,105.58558955370155
561711.31357885,2076294.16316305,1.33981,10.13723,0.95228,314.51474,1.18568,5.0,1.73693,0.00845,18.77735578907306,105.58554885002532,18.77735578907306,105.58554885002532
561714.343383389,2076876.19361187,1.55253,9.73676,1.10284,434.86874,0.61348,2.0,0.0,0.00431,18.78261575548136,105.58559576857277,18.78261575548136,105.58559576857277
561719.901220127,2077363.29603367,0.56319,5.92633,0.31689,252.76546,3.90936,6.0,0.0,0.00465,18.787017739418875,105.58566371740983,18.787017739418875,105.58566371740983
561722.849825041,2077397.14761792,1.628,5.83195,0.4066,236.59419,4.71831,6.0,0.0,0.0049,18.787323582601765,105.58569275330164,18.787323582601765,105.58569275330164
561736.364202018,2075971.2434124,0.34495,9.87576,0.9834,488.43689,0.02811,6.0,0.92475,0.00637,18.77443667996089,105.5857764513841,18.77443667996089,105.5857764513841
561738.451875865,2076818.35315026,2.92002,6.61488,0.40159,448.69849,0.40863,5.0,0.0,0.0048,18.78209230964461,105.5858227138869,18.78209230964461,105.5858227138869
561744.271392282,2075917.67717227,1.55832,6.02775,0.36661,535.92511,0.00058,7.0,0.54929,0.00582,18.7739523436497,105.5858498021352,18.7739523436497,105.5858498021352
561747.985438937,2078066.80128763,2.37108,6.43266,0.41242,68.22783,23.57718,5.0,0.12049,0.00619,18.7933747722552,105.58595218984019,18.7933747722552,105.58595218984019
561747.990199984,2076451.96741944,1.31777,7.11555,0.46025,361.67181,1.088,4.0,0.26169,0.00842,18.778780842648214,105.5859017721444,18.778780842648214,105.5859017721444
561758.588615799,2077157.44414689,1.09553,8.7688,0.74164,448.69849,0.23269,5.0,0.0,0.0044,18.78515621843283,105.58602437626215,18.78515621843283,105.58602437626215
561759.604107051,2077725.0644844,1.3133,7.64298,0.67464,167.81825,12.29309,5.0,0.41961,0.00689,18.79028600973223,105.58605175490939,18.79028600973223,105.58605175490939
561759.877029735,2076412.52935609,1.76309,9.20031,0.78778,363.9173,0.91651,3.0,0.70496,0.0086,18.778424070405013,105.58601332503731,18.778424070405013,105.58601332503731
561762.130755272,2077877.53924723,1.00758,8.97093,1.114,107.87766,17.00988,5.0,0.72342,0.00718,18.791663911978958,105.58608049729105,18.791663911978958,105.58608049729105
561765.747318183,2076668.7849187,2.13017,8.81784,0.92524,463.99939,0.35939,3.0,0.0,0.00622,18.78073978602748,105.58607703046124,18.78073978602748,105.58607703046124
561769.532556847,2077423.03958212,1.23555,12.03083,1.62577,254.60043,3.93759,4.0,0.0,0.00614,18.787556189573245,105.58613652157834,18.787556189573245,105.58613652157834
561774.824995556,2078062.16913302,1.27233,5.5093,0.30698,75.51437,22.24656,6.0,0.18824,0.0067,18.793332110223368,105.58620672676372,18.793332110223368,105.58620672676372
561777.135503577,2077684.53376611,1.06447,9.19879,0.8823,206.09999,9.76365,5.0,0.18204,0.00707,18.78991919475181,105.58621684062737,18.78991919475181,105.58621684062737
561780.498047516,2077114.33221203,2.22944,5.45153,0.28587,496.94031,0.02445,7.0,0.0,0.00469,18.784765945514586,105.58623091795239,18.784765945514586,105.58623091795239
561787.03837958,2076433.72718348,1.21031,7.27476,0.79558,400.31192,0.54315,4.0,0.51891,0.0086,18.778614835787362,105.58627170013892,18.778614835787362,105.58627170013892
561787.990181271,2077328.38154257,3.20474,7.46848,0.52705,328.09711,1.61697,5.0,0.0,0.00546,18.78670017572644,105.58630870068271,18.78670017572644,105.58630870068271
